"","subject","item","sentcond","questcond","dependnum","starttime","endtime","subresp","correctresp","accuracy","prev","deg","cond"
"360",12,30,1,6,1,23828643,23830140,6,6,1,"valid","20",1
"361",12,18,5,7,1,23847510,23849466,7,7,1,"orth","20",5
"362",12,16,3,7,1,23871112,23873110,7,7,1,"phon","20",3
"363",12,27,6,7,1,23882628,23884646,7,7,1,"orth","0",6
"364",12,31,2,7,1,23906634,23908242,7,7,1,"valid","0",2
"365",12,8,3,7,1,23940283,23942375,7,7,1,"phon","20",3
"366",12,25,4,7,1,23957129,23958702,7,7,1,"phon","0",4
"367",12,3,6,6,1,23967934,23969624,6,6,1,"orth","0",6
"368",12,2,5,6,1,23981616,23985099,6,6,1,"orth","20",5
"369",12,4,7,7,1,23996801,23998089,7,7,1,"invalid","20",7
"370",12,22,1,6,1,24015397,24018004,6,6,1,"valid","20",1
"371",12,17,4,6,1,24050782,24052168,6,6,1,"phon","0",4
"372",12,19,6,6,1,24077758,24083594,6,6,1,"orth","0",6
"373",12,10,5,7,1,24096314,24099016,7,7,1,"orth","20",5
"374",12,1,4,7,1,24108087,24110129,7,7,1,"phon","0",4
"375",12,32,3,6,1,24120583,24122891,6,6,1,"phon","20",3
"376",12,23,2,7,1,24132931,24134513,7,7,1,"valid","0",2
"377",12,20,7,6,1,24226154,24228308,6,6,1,"invalid","20",7
"378",12,5,8,7,1,24239489,24241352,7,7,1,"invalid","0",8
"379",12,13,8,6,1,24271023,24272381,6,6,1,"invalid","0",8
"380",12,9,4,6,1,24302323,24304057,6,6,1,"phon","0",4
"381",12,24,3,7,1,24314009,24315757,7,7,1,"phon","20",3
"382",12,6,1,7,1,24331657,24334799,7,7,1,"valid","20",1
"383",12,26,5,6,1,24344815,24346499,6,6,1,"orth","20",5
"384",12,15,2,6,1,24356195,24358567,6,6,1,"valid","0",2
"385",13,6,2,7,1,25269099,25273961,7,7,1,"valid","0",2
