"","sub","item","cond","seq","dependnum","start","end","duration_ms","correctresp","subresp","accuracy","deg","prev"
"312",6,6,5,42,1,10631325,10633377,2052,0,0,1,"20","orth"
"313",6,3,2,43,1,10642323,10644292,1969,1,1,1,"0","orth"
"314",6,36,5,44,1,10669553,10671680,2127,1,1,1,"20","orth"
"315",6,32,1,45,1,10681830,10684068,2238,1,1,1,"0","valid"
"316",6,1,6,46,1,10688220,10690113,1893,0,0,1,"20","mask"
"317",6,22,3,47,1,10715470,10717593,2123,1,1,1,"0","mask"
"318",6,48,5,48,1,10721249,10723906,2657,0,0,1,"20","orth"
"319",6,39,2,49,1,10728178,10730215,2037,1,1,1,"0","orth"
"320",6,14,1,50,1,10740218,10742626,2408,1,0,0,"0","valid"
"321",6,19,6,51,1,10746814,10749312,2498,1,0,0,"20","mask"
"322",6,25,6,52,1,10765260,10767283,2023,0,0,1,"20","mask"
"323",6,5,4,53,1,10776559,10778865,2306,0,0,1,"20","valid"
"324",6,37,6,54,1,10784017,10786160,2143,1,1,1,"20","mask"
"325",7,10,4,1,1,12194894,12198977,4083,0,0,1,"20","valid"
"326",7,27,3,2,1,12211705,12214778,3073,0,0,1,"0","mask"
"327",7,30,6,3,1,12229153,12231844,2691,1,1,1,"20","mask"
"328",7,7,1,4,1,12250522,12256988,6466,1,1,1,"0","valid"
"329",7,49,1,5,1,12303768,12306777,3009,0,0,1,"0","valid"
"330",7,46,4,6,1,12370780,12375852,5072,0,0,1,"20","valid"
"331",7,42,6,7,1,12383663,12387304,3641,1,1,1,"20","mask"
"332",7,37,1,8,1,12404171,12407914,3743,1,1,1,"0","valid"
"333",7,22,4,9,1,12414787,12417541,2754,1,1,1,"20","valid"
"334",7,28,4,10,1,12424430,12427398,2968,0,0,1,"20","valid"
"335",7,5,5,11,1,12469569,12473375,3806,0,0,1,"20","orth"
"336",7,17,5,12,1,12481504,12484512,3008,1,1,1,"20","orth"
"337",7,43,1,13,1,12514944,12517351,2407,0,0,1,"0","valid"
"338",7,39,3,14,1,12527459,12530189,2730,1,1,1,"0","mask"
"339",7,29,5,15,1,12537310,12541006,3696,1,1,1,"20","orth"
"340",7,48,6,16,1,12582275,12585238,2963,0,0,1,"20","mask"
"341",7,36,6,17,1,12591068,12594932,3864,1,1,1,"20","mask"
"342",7,21,3,18,1,12632768,12635634,2866,1,1,1,"0","mask"
"343",7,12,6,19,1,12640208,12643804,3596,0,0,1,"20","mask"
"344",7,50,2,20,1,12649735,12652171,2436,1,1,1,"0","orth"
"345",7,34,4,21,1,12667652,12671362,3710,1,1,1,"20","valid"
"346",7,45,3,22,1,12677449,12679834,2385,1,1,1,"0","mask"
"347",7,2,2,23,1,12737200,12740085,2885,1,1,1,"0","orth"
"348",7,53,5,24,1,12765258,12768422,3164,0,0,1,"20","orth"
"349",7,18,6,25,1,12783746,12785979,2233,0,0,1,"20","mask"
"350",7,20,2,26,1,12812235,12816064,3829,1,1,1,"0","orth"
"351",7,44,2,27,1,12820706,12823496,2790,1,1,1,"0","orth"
"352",7,6,6,28,1,12830645,12833268,2623,0,0,1,"20","mask"
"353",7,51,3,29,1,12855174,12858532,3358,0,0,1,"0","mask"
"354",7,25,1,30,1,12864367,12867605,3238,0,0,1,"0","valid"
"355",7,31,1,31,1,12874293,12877042,2749,0,0,1,"0","valid"
"356",7,26,2,32,1,12891983,12894827,2844,1,1,1,"0","orth"
"357",7,35,5,33,1,12900067,12904227,4160,0,0,1,"20","orth"
"358",7,40,4,34,1,12910029,12913018,2989,0,0,1,"20","valid"
"359",7,24,6,35,1,12931891,12936483,4592,0,0,1,"20","mask"
"360",7,13,1,36,1,12944700,12947564,2864,1,1,1,"0","valid"
"361",7,16,4,37,1,12972922,12976534,3612,0,0,1,"20","valid"
"362",7,9,3,38,1,13008088,13010869,2781,1,1,1,"0","mask"
"363",7,4,4,39,1,13021864,13025326,3462,0,0,1,"20","valid"
"364",7,8,2,40,1,13031510,13034758,3248,0,0,1,"0","orth"
"365",7,11,5,41,1,13039515,13042974,3459,0,0,1,"20","orth"
"366",7,54,6,42,1,13049694,13053459,3765,1,1,1,"20","mask"
"367",7,41,5,43,1,13059161,13062682,3521,0,0,1,"20","orth"
