"","subject","item","sentcond","questcond","dependnum","starttime","endtime","subresp","correctresp","accuracy","prev","deg","cond"
"299",10,14,7,6,1,14403049,14406294,6,6,1,"invalid","20",7
"300",10,2,3,6,1,14421731,14423370,6,6,1,"phon","20",3
"301",10,28,5,7,1,14433980,14435697,7,7,1,"orth","20",5
"302",10,7,8,6,1,14457123,14460678,6,6,1,"invalid","0",8
"303",10,11,4,7,1,14491563,14492889,7,7,1,"phon","0",4
"304",10,32,1,6,1,14533410,14535821,6,6,1,"valid","20",1
"305",10,29,6,6,1,14549125,14551188,6,6,1,"orth","0",6
"306",10,12,5,7,1,14564944,14566713,7,7,1,"orth","20",5
"307",10,26,3,6,1,14575532,14577527,6,6,1,"phon","20",3
"308",10,17,2,6,1,14586140,14589047,6,6,1,"valid","0",2
"309",10,6,7,7,1,14608223,14610278,7,7,1,"invalid","20",7
"310",10,3,4,6,1,14639704,14641252,6,6,1,"phon","0",4
"311",10,9,2,6,1,14655261,14656579,6,6,1,"valid","0",2
"312",10,21,6,6,1,14668870,14670140,6,6,1,"orth","0",6
"313",10,18,3,7,1,14681517,14683881,7,7,1,"phon","20",3
"314",10,30,7,6,1,14702434,14703528,6,6,1,"invalid","20",7
"315",10,16,1,7,1,14721321,14723161,7,7,1,"valid","20",1
"316",10,1,2,7,1,14789065,14790130,7,7,1,"valid","0",2
"317",10,13,6,6,1,14817161,14818396,6,6,1,"orth","0",6
"318",10,5,6,7,1,14826606,14828583,7,7,1,"orth","0",6
"319",10,4,5,7,1,14845705,14847748,7,7,1,"orth","20",5
"320",10,31,8,7,1,14854811,14857352,6,7,0,"invalid","0",8
"321",11,13,7,6,1,16522947,16524458,6,6,1,"invalid","20",7
"322",11,28,6,7,1,16545989,16548739,7,7,1,"orth","0",6
"323",11,17,3,6,1,16568768,16570424,6,6,1,"phon","20",3
"324",11,1,3,7,1,16576010,16577342,7,7,1,"phon","20",3
"325",11,26,4,6,1,16589761,16591460,6,6,1,"phon","0",4
"326",11,22,8,6,1,16612607,16614395,6,6,1,"invalid","0",8
"327",11,16,2,7,1,16632963,16634936,7,7,1,"valid","0",2
"328",11,2,4,6,1,16650645,16652012,6,6,1,"phon","0",4
"329",11,29,7,6,1,16658724,16660714,6,6,1,"invalid","20",7
"330",11,30,8,6,1,16665775,16666836,6,6,1,"invalid","0",8
"331",11,31,1,7,1,16674466,16675693,7,7,1,"valid","20",1
"332",11,25,3,7,1,16689569,16690750,7,7,1,"phon","20",3
"333",11,12,6,7,1,16701239,16702529,7,7,1,"orth","0",6
"334",11,19,5,6,1,16714388,16715951,7,6,0,"orth","20",5
"335",11,6,8,7,1,16743183,16744803,7,7,1,"invalid","0",8
"336",11,23,1,7,1,16751970,16752868,7,7,1,"valid","20",1
"337",11,27,5,7,1,16798633,16799703,7,7,1,"orth","20",5
"338",11,10,4,7,1,16815868,16817117,7,7,1,"phon","0",4
"339",11,32,2,6,1,16823765,16825113,6,6,1,"valid","0",2
"340",11,8,2,7,1,16844494,16847538,7,7,1,"valid","0",2
"341",11,15,1,6,1,16862280,16863735,6,6,1,"valid","20",1
"342",11,3,5,6,1,16895767,16897354,6,6,1,"orth","20",5
"343",11,14,8,6,1,16909688,16911431,7,6,0,"invalid","0",8
"344",11,5,7,7,1,16932467,16934434,7,7,1,"invalid","20",7
"345",11,7,1,6,1,16945414,16947432,6,6,1,"valid","20",1
"346",11,4,6,7,1,16952423,16953353,7,7,1,"orth","0",6
"347",11,9,3,6,1,16968144,16969349,6,6,1,"phon","20",3
"348",11,24,2,7,1,16993333,16995783,7,7,1,"valid","0",2
"349",11,11,5,7,1,17029819,17031393,7,7,1,"orth","20",5
"350",11,20,6,6,1,17057493,17058701,6,6,1,"orth","0",6
"351",11,18,4,7,1,17071435,17072870,7,7,1,"phon","0",4
"352",11,21,7,6,1,17087289,17088824,6,6,1,"invalid","20",7
"353",12,4,7,7,1,28000550,28002168,7,7,1,"invalid","20",7
"354",12,30,1,6,1,28007546,28009565,6,6,1,"valid","20",1
"355",12,9,4,6,1,28015774,28017584,6,6,1,"phon","0",4
"356",12,16,3,7,1,28030687,28032665,7,7,1,"phon","20",3
"357",12,10,5,7,1,28049694,28051312,7,7,1,"orth","20",5
"358",12,18,5,7,1,28062348,28063516,7,7,1,"orth","20",5
"359",12,5,8,7,1,28069719,28071816,7,7,1,"invalid","0",8
"360",12,15,2,6,1,28088924,28091465,6,6,1,"valid","0",2
"361",12,19,6,6,1,28102390,28105423,7,6,0,"orth","0",6
"362",12,2,5,6,1,28132806,28134894,6,6,1,"orth","20",5
"363",12,14,1,6,1,28158584,28160849,6,6,1,"valid","20",1
"364",12,24,3,7,1,28167560,28169944,7,7,1,"phon","20",3
"365",12,27,6,7,1,28175215,28176525,7,7,1,"orth","0",6
"366",12,12,7,7,1,28186778,28188467,7,7,1,"invalid","20",7
"367",12,22,1,6,1,28194016,28196057,6,6,1,"valid","20",1
"368",12,26,5,6,1,28201950,28204466,6,6,1,"orth","20",5
"369",12,7,2,6,1,28215938,28218625,6,6,1,"valid","0",2
"370",12,8,3,7,1,28264991,28266290,7,7,1,"phon","20",3
"371",12,28,7,7,1,28280701,28282288,7,7,1,"invalid","20",7
"372",12,1,4,7,1,28287449,28288960,7,7,1,"phon","0",4
"373",12,17,4,6,1,28295068,28296500,6,6,1,"phon","0",4
"374",12,23,2,7,1,28306446,28308032,7,7,1,"valid","0",2
"375",12,21,8,6,1,28318599,28321224,6,6,1,"invalid","0",8
"376",12,20,7,6,1,28326617,28328391,6,6,1,"invalid","20",7
"377",12,29,8,6,1,28338117,28339481,6,6,1,"invalid","0",8
"378",12,31,2,7,1,28346006,28347473,7,7,1,"valid","0",2
"379",12,6,1,7,1,28369420,28370598,7,7,1,"valid","20",1
"380",12,3,6,6,1,28380167,28381994,6,6,1,"orth","0",6
"381",12,11,6,7,1,28400518,28401875,7,7,1,"orth","0",6
"382",12,32,3,6,1,28412943,28414657,6,6,1,"phon","20",3
"383",12,25,4,7,1,28461882,28463379,7,7,1,"phon","0",4
"384",12,13,8,6,1,28474240,28475489,6,6,1,"invalid","0",8
